category,sub_category,total_tickets,negative_tickets,average_csat,average_response_time,negative_rate,negative_volume_score,negative_rate_score,csat_problem_score,priority_score
Cancellation,Not Needed,625,135,3.62,6841.55,21.6,0.09354604786076867,0.5265055896141364,0.5892857142857144,0.36587779784710495
Cancellation,Return cancellation,96,11,4.48,3554.78,11.46,0.0036258158085569255,0.16083663901911294,0.0773809523809521,0.08126117240725837
Feedback,UnProfessional Behaviour,783,158,3.95,4949.9,20.18,0.11022480058013052,0.47529751172015866,0.3928571428571428,0.31278035349154426
Offers & Cashback,Other Cashback,80,8,4.14,5402.18,10.0,0.0014503263234227704,0.10818608005769925,0.2797619047619051,0.09980694350482984
Order Related,Customer Requested Modifications,259,26,4.38,3557.29,10.04,0.0145032632342277,0.1096285611251352,0.13690476190476186,0.07703368212469752
Order Related,Delayed,2250,515,3.7,5146.08,22.89,0.369108049311095,0.5730256040389471,0.5416666666666665,0.48518679467335013
Order Related,General Enquiry,56,12,3.64,9075.74,21.43,0.00435097897026831,0.5203750450775334,0.5773809523809526,0.3253666000953112
Order Related,Installation/demo,1384,318,3.48,4993.57,22.98,0.22625090645395213,0.576271186440678,0.6726190476190474,0.45553264668166155
Order Related,Invoice request,417,36,4.43,2886.35,8.63,0.02175489485134155,0.05878110349801663,0.1071428571428572,0.053642970768314716
Order Related,Order status enquiry,2389,388,4.09,2125.51,16.24,0.2770123277737491,0.3332131265777136,0.30952380952380976,0.3059949436453471
Order Related,Priority delivery,351,29,4.36,2571.03,8.26,0.01667875271936186,0.0454381536242337,0.14880952380952372,0.054608667299342974
Order Related,Seller Cancelled Order,452,157,3.27,3458.79,34.73,0.10949963741841914,1.0,0.7976190476190477,0.6033236644911772
Order Related,Unable to track,54,6,4.07,9070.71,11.11,0.0,0.14821492967904798,0.3214285714285712,0.12357168615733344
Payments related,Online Payment Issues,362,52,4.32,9783.09,14.36,0.03335750543872371,0.26541651640822217,0.17261904761904745,0.15403341826258785
Payments related,Payment related Queries,228,35,4.1,4348.11,15.35,0.02102973168963017,0.3011179228272629,0.3035714285714288,0.18957334752104302
Payments related,Wallet related,99,9,4.43,3830.74,9.09,0.002175489485134155,0.07536963577353045,0.1071428571428572,0.05244662153203729
Product Queries,Product Specific Information,1246,268,3.79,4257.37,21.51,0.1899927483683829,0.5232600072124054,0.48809523809523814,0.3829201498513629
Refund Related,Refund Enquiry,900,102,4.24,3663.59,11.33,0.06961566352429296,0.15614857554994593,0.22023809523809534,0.13435331467731465
Refund Related,Refund Related Issues,552,109,3.91,4709.1,19.75,0.07469180565627266,0.45979084024522177,0.4166666666666665,0.29712639169393107
Returns,Damaged,143,22,4.26,8603.89,15.38,0.011602610587382161,0.30219978362783995,0.20833333333333348,0.16718762435275553
Returns,Exchange / Replacement,282,69,3.73,6250.76,24.47,0.045685279187817264,0.6300036062026686,0.5238095238095237,0.37503745891809903
Returns,Fraudulent User,1290,148,4.6,5362.74,11.47,0.10297316896301667,0.1611972592859719,0.005952380952381375,0.1068586474900717
Returns,Missing,843,59,4.61,3307.22,7.0,0.03843364757070341,0.0,0.0,0.015373459028281364
Returns,Return request,3039,307,4.6,2988.72,10.1,0.2182741116751269,0.11179228272628922,0.005952380952381375,0.1332170339510427
Returns,Reverse Pickup Enquiry,7520,1385,3.99,4886.41,18.42,1.0,0.41182834475297525,0.36904761904761907,0.6385408617107139
Returns,Service Centres Related,629,119,3.93,5107.36,18.92,0.08194343727338652,0.4298593580959251,0.40476190476190466,0.28567349910010564
Returns,Technician Visit,147,50,2.93,8173.87,34.01,0.03190717911530094,0.9740353407861522,1.0,0.6023770079605812
Returns,Wrong,855,102,4.47,5460.2,11.93,0.06961566352429296,0.17778579156148577,0.08333333333333348,0.11562724870097821
Shopzilla Related,General Enquiry,654,97,4.11,4227.32,14.83,0.06598984771573604,0.282365668950595,0.29761904761904745,0.19886601619034194
Shopzilla Related,Shopzila Premium Related,92,14,4.15,1621.26,15.22,0.0058013052936910815,0.29642985935809596,0.2738095238095237,0.17565437062261957
Shopzilla Related,Signup Issues,152,14,4.59,3986.73,9.21,0.0058013052936910815,0.0796970789758385,0.011904761904761862,0.036580306088764204
