term,tfidf_score
bad,0.0684402461493764
service,0.04798180564014005
shopzilla,0.04534574383065102
problem,0.04305386837198233
product,0.033349573060346915
poor,0.03251011938950453
customer,0.03242773237234283
worst,0.02920006350141724
issue,0.027951899316368007
good,0.02678051576050486
delivery,0.026106837051910834
resolved,0.023654124681669313
experience,0.021203472959378612
time,0.020064206415155966
order,0.01967347327177573
solve,0.01891501590246924
return,0.01794604104016267
solved,0.016874020859347895
bad service,0.015734466011252172
support,0.015031780219458791
executive,0.013930884301802397
wrong,0.013618287195591845
issue resolved,0.012917174941456578
happy,0.012731832847878644
policy,0.011569048067356466
pathetic,0.011433729586830572
bad experience,0.010992284752135796
don,0.010671170293666848
resolve,0.01054856428796646
customer service,0.010356201658217374
fraud,0.01026316129932068
refund,0.010255950680991655
delivered,0.01012297360433497
problem solved,0.00998955078414979
worst service,0.009729058310282278
poor service,0.009537695265523434
products,0.009132722655810908
days,0.008903109599842722
services,0.008875659310143722
information,0.008745300168300971
seller,0.008603998441669907
received,0.00859434059747251
quality,0.008393826825992958
thanks,0.008264203930794668
item,0.00813396277559899
help,0.008129412548345082
care,0.008118050770909968
resolution,0.007960951547040887
fake,0.007671167015094337
worst experience,0.007632714632335751
solve problem,0.007631102541806695
customers,0.007607683074561772
solution,0.007427713815305629
team,0.0073435345539633375
service shopzilla,0.00732849357811403
customer support,0.007287374070245759
agent,0.007271411410668351
missing,0.007108235897870069
cancel,0.0070633228536962165
complaint,0.0069756259523442955
disappointed,0.006877539855691179
company,0.00679816318734441
app,0.006748984886742906
problem solve,0.006736215537155906
response,0.006707684500231452
customer care,0.006667981381391642
sellers,0.006667395569473616
issues,0.006543637578069427
comments,0.006259752386114211
just,0.006253480006373727
need,0.006167000670512446
delay,0.006026833333879313
waste,0.0059884366078871275
money,0.005987303796327391
cancelled,0.005903575411900957
query,0.005878520274400372
didn,0.005799189566327535
problems,0.005694348925874854
make,0.005650548667266459
request,0.0055509456417864545
return policy,0.005526175596247607
provided,0.005363048309384032
satisfied,0.005290555708242595
date,0.005265580764955553
got,0.005183805536531045
replacement,0.005168224348811615
want,0.0051508695800188825
action,0.005147260731259753
provide,0.005146394477733206
boy,0.005134154286769748
experience shopzilla,0.005101861040641337
deliver,0.005094469721285029
person,0.0050889917445978575
pathetic service,0.005036484910756329
like,0.004998067893988271
times,0.0048638517978178844
getting,0.004774828024449923
option,0.004739877773413359
wrong product,0.004654847285595926
proper,0.004643218276270905
able,0.004604813231957153
pay,0.004600067417150865
ordered,0.0045353163029640126
damaged,0.004533496361633773
unhappy,0.0044509158040728115
understand,0.004393716141652277
items,0.004377138034317343
try,0.004375536846823174
totally,0.004363111173350663
worst customer,0.0043575895750005075
complain,0.004316666789883018
problem resolved,0.004315112358863486
hai,0.004293252760934606
till,0.004267424063791549
given,0.004260940455955312
behaviour,0.004229682104211693
people,0.004159319073540011
cut,0.0040009532267639755
day,0.003994410174808756
issue solved,0.003982494195845679
really,0.003941848146801022
solving,0.003835975823750539
useless,0.0038288389722168728
giving,0.003811150830234529
customer executive,0.0037822481282282455
stop,0.003774044748049593
working,0.0037472150888356558
plz,0.003739138890060644
feedback,0.0037172147309789847
delivery boy,0.0036808850160462703
defective,0.0036677670538455887
work,0.003660397977982075
exchange,0.0036035349269306852
se,0.0035314470434445132
number,0.0035091004797766804
did,0.0034976490737231706
delivery agent,0.0034907351828718197
month,0.003485457686489711
policies,0.0034783831249849016
orders,0.003462557913223494
product delivered,0.0034459737165889225
available,0.0034423103172760896
phone,0.003388431891556617
10,0.0033626961999043596
executives,0.0033238855244446023
sorry,0.0032902272319844566
send,0.003269958059826167
cancel order,0.0032036870858739956
purchase,0.0031972108462187568
later,0.0031863070401563233
account,0.0031804162570062346
contact,0.0031433025253630605
today,0.0031406651353035725
voice,0.0031360834926537225
know,0.0031356183723385785
shopping,0.003117415173810664
good service,0.0031123934933428928
delayed,0.0030937560415234683
service poor,0.003092112113361573
buy,0.003076792721072289
doing,0.003072686584451924
pls,0.003065148243621123
pickup,0.003046569997139292
concern,0.0030429820719996992
check,0.003036465363764597
regarding,0.0030312071554449036
pick,0.0029927507089573687
delivery service,0.0029789383479047514
fool,0.002911854073126089
guys,0.0029035219433975663
payment,0.0028640904500136432
disconnected,0.0028484132789950442
superbuy,0.0028389620093440867
change,0.0028358057732883867
service good,0.0028257028720121077
resolving,0.0028094278160702185
end,0.002798525275104974
say,0.0027671168724694916
improve,0.0027426747952871227
shopzilla service,0.0027423339078498526
process,0.0027202694447203916
taken,0.0027145635659194564
rude,0.0027095364031528343
possible,0.002624099102040705
related,0.002617552017114156
pay later,0.0025989740014155903
receive,0.002591631994996248
damage,0.002589606211450825
clear,0.00255768433576345
different,0.002534467095726131
said,0.0025338327171737086
helpful,0.002522524061754323
waiting,0.0025208253404136066
talk,0.0025185917139665358
size,0.0025124522772184675
thank,0.002509434838165601
resolve problem,0.002499703480531606
warranty,0.0024953502662016487
difficult,0.002490046083472914
